Date,Open,High,Low,Close,Adj Close,Volume
2016-06-24,73.867699,74.778595,73.127602,73.398018,64.974121,10740269
2016-06-27,72.672150,72.971039,70.480316,71.120789,62.958252,8599705
2016-06-28,71.149254,71.277351,67.961128,69.028580,61.673904,9893346
2016-06-29,69.825615,70.836136,69.640587,70.309525,62.818371,7404359
2016-06-30,70.366455,71.163490,69.996407,70.750740,63.212578,7859719
2016-07-01,70.693810,71.391212,70.380692,70.508781,62.996391,6815714
2016-07-05,70.124504,70.380692,69.327469,69.398636,62.004524,5735807
2016-07-06,68.701233,68.857788,67.619545,68.487740,61.190678,6213931
2016-07-07,68.558907,69.213608,68.032295,68.601601,61.292412,3847408
2016-07-08,69.412865,70.608414,68.445045,70.309525,62.818371,6631772
2016-07-11,70.466087,71.505074,70.380692,70.949997,63.390591,3983152
2016-07-12,71.519302,73.099136,71.476608,72.515594,64.789383,5026946
2016-07-13,72.857178,72.999504,72.430199,72.842949,65.081871,3114519
2016-07-14,73.554581,74.294678,73.241463,73.725372,65.870270,3449522
2016-07-15,73.881935,74.209282,73.568810,74.095421,66.200882,2523907
2016-07-18,74.081192,75.063248,73.711143,74.863991,66.887573,2758507
2016-07-19,74.294678,74.906685,74.152351,74.522408,66.582390,2339472
2016-07-20,74.550873,75.646790,74.237747,75.362129,67.332634,3478961
2016-07-21,75.419067,75.433296,74.422775,74.721664,66.760422,3374764
2016-07-22,74.920921,75.803345,74.622032,75.604088,67.548820,2713611
2016-07-25,75.376366,75.888741,75.063248,75.817581,67.739571,2963317
2016-07-26,76.130699,76.828102,76.073769,76.201859,68.082878,4716674
2016-07-27,76.087997,76.685776,75.575623,76.329956,68.197342,3187660
2016-07-28,76.714241,77.013123,75.974136,76.386887,68.248215,4599058
2016-07-29,76.842331,77.112755,76.273026,76.386887,68.248215,6811147
2016-08-01,76.543449,76.856567,75.902977,76.358421,68.222778,7110950
2016-08-02,76.358421,76.358421,74.992081,75.618324,67.561531,2868044
2016-08-03,75.760651,76.344193,75.305199,76.045303,67.943024,1974327
2016-08-04,75.917206,76.358421,75.632553,76.130699,68.019325,1901115
2016-08-05,76.344193,76.543449,76.073769,76.344193,68.210060,2740942
2016-08-08,76.087997,76.657310,76.073769,76.287262,68.159210,3509314
2016-08-09,76.415352,76.429588,75.760651,75.988373,67.892151,1992735
2016-08-10,76.230331,76.273026,75.831810,76.073769,67.968445,2214900
2016-08-11,76.216095,76.401123,75.518692,76.344193,68.210060,4145314
